distribution,resnet_mse,pointnet_mse,random_mse
diagonal,0.023142480951077526,0.008694644515631166,1.5352672140708212
gaussian,0.19299464766117194,0.025195138647317667,1.3393126632276764
sierpinski,0.03255401456079417,0.01502080115913376,0.9749847488794563
uniform,0.03198882338171174,0.01626199427022782,1.3180894715023235
bit,0.473818773377861,0.6348782259543312,1.1875340201262334
parcel,0.18567359935166192,0.19700949901513096,1.0437652135323752
weather,0.9950740963966705,1.0427133138703284,1.5051818931399075
diagonal_large,0.06286754158228201,0.014691820862248342,1.4741604226988891
sierpinski_large,0.02326434053608281,0.013443297502649412,0.9606097815582243
gaussian_large,0.23821960607045964,0.03113181047672958,1.4202324763067498
uniform_large,0.039434008281292156,0.026126862096693997,1.4991231681537591
